filename,category,subcategory,dominant_features,visual_characteristics,expected_model_behavior,notes
MIN_01.png,minimalist,data_minimalism,large whitespace; limited colour palette; strong hierarchy,clean layout with large proportional blocks and restrained typography,likely high aesthetic score due to balance and readability,minimalist treemap-style infographic focused on spatial simplicity
MIN_02.png,minimalist,narrative_minimalism,extreme whitespace; centered composition; minimal text,very sparse storytelling layout with strong emotional focus,model may under-score due to low visual complexity,interactive-story inspired minimalist narrative design
MIN_03.png,minimalist,artistic_minimalism,dark background; geometric repetition; sparse annotations,gallery-style visualisation with artistic presentation,segmentation may struggle due to unconventional structure,experimental handcrafted visual minimalism
MIN_04.png,minimalist,graphic_minimalism,flat colours; simple iconography; limited text,poster-like awareness graphic with bold contrast,likely medium-high score because of clarity and simplicity,minimalist advocacy-style infographic
TXT_01.png,text_heavy,structural_text_density,dense annotations; circular layout; multilingual labels,high-information engineering infographic with layered textual explanations,likely lower readability score despite strong visual organisation,complex railway infrastructure infographic with heavy informational density
TXT_02.png,text_heavy,data_catalogue_text_density,massive label volume; thin connectors; extensive categorisation,encyclopedic nutrition infographic with compressed textual structure,model may struggle balancing readability and organisation,text-heavy infographic emphasising exhaustive nutritional coverage
TXT_03.png,text_heavy,analytical_text_density,dark theme; comparative text blocks; dense explanatory sections,academic-style comparative infographic combining timelines and colour analysis,likely medium score due to balance between structure and density,well-organised but cognitively demanding infographic layout
TXT_04.png,text_heavy,timeline_text_density,extensive chronology; stacked annotations; compressed event descriptions,long-form historical timeline infographic with layered political events,segmentation and OCR may become unstable due to high text concentration,large-scale narrative timeline with strong informational compression
AWD_01.png,award_winning,interactive_data_storytelling,layered streamgraph; interactive categorisation; balanced colour coding,dynamic narrative visualisation combining exploration and statistical storytelling,likely high score due to strong hierarchy and modern interaction-oriented design,award-level interactive infographic balancing complexity with readability
AWD_02.png,award_winning,experimental_cartographic_visualisation,sparse map abstraction; stereoscopic effect; minimalist geographic encoding,highly artistic spatial visualisation with unconventional rendering,style may confuse segmentation despite strong artistic appeal,award-winning experimental geographic visualisation
AWD_03.png,award_winning,editorial_minimalism,large whitespace; central object emphasis; restrained typography,editorial-style infographic with strong visual focus and narrative simplicity,likely high score due to compositional clarity and clean storytelling,professional news-style minimalist visual narrative
AWD_04.png,award_winning,abstract_data_art,dense micro-patterns; repetitive structures; texture-based encoding,abstract artistic visualisation blending data representation with fine-grained pattern aesthetics,model may struggle interpreting structure despite high artistic sophistication,award-winning abstract data-art infographic with extreme visual density
CLU_01.png,cluttered,visual_overload_clutter,dense mixed visual elements; overlapping charts; excessive symbolic encoding,"highly saturated infographic combining environmental, social and historical narratives",model may produce unstable feature interpretation due to competing focal points,multi-layered infographic with severe informational congestion
CLU_02.png,cluttered,textual_domestic_clutter,excessive instructional text; crowded typography; weak spacing,daily routine infographic with compressed household guidance and low visual hierarchy,likely lower readability and aesthetic score due to dense arrangement,clutter generated primarily through typography and insufficient whitespace
CLU_03.png,cluttered,scientific_process_clutter,multiple annotation zones; repeated diagrams; dense explanatory structure,educational scientific infographic with extensive cyclical process explanations,model may partially reward organisation despite high information density,complex biomedical explainer with layered scientific annotations
CLU_04.png,cluttered,network_relationship_clutter,large relational graph; overlapping connections; compressed labels,political network infographic with extremely dense relational mapping,segmentation and readability likely degraded by structural complexity,high-density geopolitical relationship visualisation with crowded node-link structure
EXP_01.png,experimental,abstract_encoding_experiment,minimal labels; symbolic bar structures; unconventional visual grammar,highly abstract infographic using colour and spacing as primary meaning carriers,model may fail to infer semantic structure due to extreme abstraction,experimental infographic prioritising visual rhythm over readability
EXP_02.png,experimental,organic_growth_visualisation,plant-like metaphor; dense overlapping organic forms; interactive storytelling,creative grantmaking visualisation using botanical growth as temporal encoding,segmentation may become unstable because of layered organic structures,artistic data storytelling blending metaphor with temporal information
EXP_03.png,experimental,psychological_identity_visualisation,radial symbolic encoding; repeated abstract glyphs; high visual symmetry,experimental social-data infographic using hypnotic circular motifs,model may reward symmetry while struggling with detailed semantic parsing,highly stylised infographic exploring identity categorisation
EXP_04.png,experimental,editorial_body_visualisation,minimal body outline; sparse comparative markers; unconventional sizing metaphor,editorial infographic using fashion-fit abstraction instead of traditional charts,likely medium-high score due to clean layout despite unusual representation,experimental consumer-data storytelling with soft minimalist aesthetics
MIS_01.png,misleading,truncated_axis_distortion,exaggerated proportional scaling; cropped baseline; amplified visual growth,government infographic visually overstating increase through manipulated scaling,model may incorrectly reward clarity and colour despite misleading representation,classic example of misleading proportional visual encoding
MIS_02.png,misleading,causal_complexity_overload,excessive connections; unreadable systems mapping; ambiguous causal relationships,extremely dense systems diagram creating illusion of analytical precision,model may struggle separating informational richness from interpretability,misleading complexity generated through overwhelming relational structure
MIS_03.png,misleading,pictorial_area_misrepresentation,human-shaped encoding; inconsistent area perception; decorative quantitative layout,pictogram infographic where visual area may distort proportional interpretation,model may favour visual organisation despite weak quantitative precision,visual metaphor potentially obscuring accurate comparison of time allocation
MIS_04.png,misleading,geographic_area_bias,map-based encoding; unequal spatial emphasis; colour dominance,distorted demographic infographic implying misleading population proportions,model may reward strong colour contrast while ignoring representational bias,misleading choropleth-style infographic exaggerating demographic perception
